Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
15,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2005,2010,2015,2020,2023,,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,PPG,RPG,APG,season,,,,,,,,,,,,,,,,,,,,,,,,
Randy Livingston,Houston Rockets,3.9,1.5,2.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Gaylon Nickerson,Washington Wizards,3.8,1.3,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
George Lynch,Memphis Grizzlies,8.3,6.4,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
George McCloud,Los Angeles Lakers,10.2,2.8,1.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
George Zidek,Denver Nuggets,2.8,1.7,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Wilkins,Orlando Magic,10.6,2.2,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Gheorghe Muresan,Washington Wizards,10.6,6.6,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Glen Rice,Charlotte Hornets,26.8,4,2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Robinson,Milwaukee Bucks,21.1,6.3,3.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Grant Hill,Detroit Pistons,21.4,9,7.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Gary Trent,Portland Trail Blazers,10.8,5.2,1.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Grant Long,Detroit Pistons,5,3.4,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Greg Anthony,Memphis Grizzlies,9.5,2.8,6.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dreiling,Dallas Mavericks,2,1.9,0.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Greg Foster,Utah Jazz,3.5,2.4,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Greg Graham,Oklahoma City Thunder,3.3,0.5,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Greg Minor,Boston Celtics,9.6,3.5,1.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Greg Ostertag,Utah Jazz,7.3,7.3,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Hakeem Olajuwon,Houston Rockets,23.2,9.2,3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Grant,Washington Wizards,4.1,3.3,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Haywoode Workman,Indiana Pacers,5.5,1.8,2.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Greg Anderson,San Antonio Spurs,3.9,5.5,0.4,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Gary Payton,Oklahoma City Thunder,21.8,4.6,7.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Gary Grant,Miami Heat,3.9,1.4,1.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Fred Roberts,Dallas Mavericks,1.8,0.8,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Eldridge Recasner,Atlanta Hawks,5.7,1.6,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Perry,Milwaukee Bucks,6.9,1.5,3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Elmer Bennett,Denver Nuggets,2.4,0.4,1.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Elmore Spencer,Oklahoma City Thunder,0,0,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Emanual Davis,Houston Rockets,5,1.7,2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Ennis Whatley,Portland Trail Blazers,1.3,1,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
