Name,Team,Conference,Division,Position,Height (Inches),Age,Number
Caris LeVert,Atlanta Hawks,Eastern,Southeast,SG,78,30,3
Clint Capela,Atlanta Hawks,Eastern,Southeast,C,82,31,15
Jalen Johnson,Atlanta Hawks,Eastern,Southeast,SF,80,23,1
Onyeka Okongwu,Atlanta Hawks,Eastern,Southeast,C,82,24,17
Trae Young,Atlanta Hawks,Eastern,Southeast,PG,73,26,11
Zaccharie Risacher,Atlanta Hawks,Eastern,Southeast,PF,80,20,10
Derrick White,Boston Celtics,Eastern,Atlantic,PG,76,30,9
Jaylen Brown,Boston Celtics,Eastern,Atlantic,SG,78,28,7
Jayson Tatum,Boston Celtics,Eastern,Atlantic,SF,80,27,0
Jrue Holiday,Boston Celtics,Eastern,Atlantic,PG,76,34,4
Kristaps Porzingis,Boston Celtics,Eastern,Atlantic,C,86,29,8
Cam Thomas,Brooklyn Nets,Eastern,Atlantic,SG,75,23,24
Cameron Johnson,Brooklyn Nets,Eastern,Atlantic,PF,80,28,2
D'Angelo Russell,Brooklyn Nets,Eastern,Atlantic,PG,75,28,1
Nicolas Claxton,Brooklyn Nets,Eastern,Atlantic,C,83,26,33
Brandon Miller,Charlotte Hornets,Eastern,Southeast,SF,79,22,24
Josh Green,Charlotte Hornets,Eastern,Southeast,SG,77,24,10
Jusuf Nurkic,Charlotte Hornets,Eastern,Southeast,C,84,30,11
LaMelo Ball,Charlotte Hornets,Eastern,Southeast,PG,79,23,1
Mark Williams,Charlotte Hornets,Eastern,Southeast,C,84,23,5
Miles Bridges,Charlotte Hornets,Eastern,Southeast,SF,79,27,0
Ayo Dosunmu,Chicago Bulls,Eastern,Central,SG,77,25,11
Coby White,Chicago Bulls,Eastern,Central,PG,77,25,0
Josh Giddey,Chicago Bulls,Eastern,Central,SG,80,22,3
Kevin Huerter,Chicago Bulls,Eastern,Central,SG,79,26,13
Nikola Vucevic,Chicago Bulls,Eastern,Central,C,82,34,9
Patrick Williams,Chicago Bulls,Eastern,Central,PF,80,23,44
Tre Jones,Chicago Bulls,Eastern,Central,PG,73,25,30
Darius Garland,Cleveland Cavaliers,Eastern,Central,PG,73,25,10
Donovan Mitchell,Cleveland Cavaliers,Eastern,Central,SG,75,28,45
Evan Mobley,Cleveland Cavaliers,Eastern,Central,PF,83,23,4
Isaac Okoro,Cleveland Cavaliers,Eastern,Central,SF,77,24,35
Jarrett Allen,Cleveland Cavaliers,Eastern,Central,C,81,27,31
Max Strus,Cleveland Cavaliers,Eastern,Central,SF,77,29,1
Anthony Davis,Dallas Mavericks,Western,Southwest,PF,82,32,3
Daniel Gafford,Dallas Mavericks,Western,Southwest,C,82,26,21
Dereck Lively II,Dallas Mavericks,Western,Southwest,C,85,21,2
Klay Thompson,Dallas Mavericks,Western,Southwest,SG,78,35,31
Kyrie Irving,Dallas Mavericks,Western,Southwest,PG,74,33,11
Max Christie,Dallas Mavericks,Western,Southwest,SG,77,22,0
P.J. Washington,Dallas Mavericks,Western,Southwest,PF,79,26,25
Spencer Dinwiddie,Dallas Mavericks,Western,Southwest,PG,77,32,26
Aaron Gordon,Denver Nuggets,Western,Northwest,PF,80,29,50
Christian Braun,Denver Nuggets,Western,Northwest,SG,78,24,0
DeAndre Jordan,Denver Nuggets,Western,Northwest,C,83,36,6
Jamal Murray,Denver Nuggets,Western,Northwest,PG,76,28,27
Michael Porter Jr.,Denver Nuggets,Western,Northwest,SF,82,26,1
Nikola Jokic,Denver Nuggets,Western,Northwest,C,83,30,15
Peyton Watson,Denver Nuggets,Western,Northwest,PF,79,22,8
Russell Westbrook,Denver Nuggets,Western,Northwest,PG,76,36,4
Ausar Thompson,Detroit Pistons,Eastern,Central,PF,78,22,9
Cade Cunningham,Detroit Pistons,Eastern,Central,PG,78,23,2
Dennis Schroder,Detroit Pistons,Eastern,Central,PG,73,31,17
Isaiah Stewart II,Detroit Pistons,Eastern,Central,C,80,23,28
Jaden Ivey,Detroit Pistons,Eastern,Central,PG,76,23,23
Jalen Duren,Detroit Pistons,Eastern,Central,C,82,21,0
Malik Beasley,Detroit Pistons,Eastern,Central,SG,76,28,5
Tim Hardaway Jr.,Detroit Pistons,Eastern,Central,SF,77,33,8
Tobias Harris,Detroit Pistons,Eastern,Central,PF,80,32,12
Draymond Green,Golden State Warriors,Western,Pacific,PF,78,35,23
Jimmy Butler,Golden State Warriors,Western,Pacific,SF,79,35,10
Jonathan Kuminga,Golden State Warriors,Western,Pacific,PF,79,22,0
Kevon Looney,Golden State Warriors,Western,Pacific,C,81,29,5
Stephen Curry,Golden State Warriors,Western,Pacific,PG,74,37,30
Trayce Jackson-Davis,Golden State Warriors,Western,Pacific,PF,81,25,32
Alperen Sengun,Houston Rockets,Western,Southwest,C,83,22,28
Amen Thompson,Houston Rockets,Western,Southwest,SF,79,22,1
Dillon Brooks,Houston Rockets,Western,Southwest,SF,78,29,9
Fred Vanvleet,Houston Rockets,Western,Southwest,PG,72,31,5
Jabari Smith Jr.,Houston Rockets,Western,Southwest,PF,83,22,10
Jalen Green,Houston Rockets,Western,Southwest,SG,76,23,4
Tari Eason,Houston Rockets,Western,Southwest,PG,80,24,17
Aaron Nesmith,Indiana Pacers,Eastern,Central,SF,78,25,23
Andrew Nembhard,Indiana Pacers,Eastern,Central,PG,76,25,2
Myles Turner,Indiana Pacers,Eastern,Central,C,83,29,33
Obi Toppin,Indiana Pacers,Eastern,Central,PF,81,27,1
Pascal Siakam,Indiana Pacers,Eastern,Central,PF,80,31,43
Tyrese Haliburton,Indiana Pacers,Eastern,Central,PG,77,25,0
Amir Coffey,Los Angeles Clippers,Western,Pacific,SG,79,27,7
Bogdan Bogdanovic,Los Angeles Clippers,Western,Pacific,SG,77,31,10
Derrick Jones Jr.,Los Angeles Clippers,Western,Pacific,SF,78,27,55
Ivica Zubac,Los Angeles Clippers,Western,Pacific,C,84,28,40
James Harden,Los Angeles Clippers,Western,Pacific,SG,77,35,1
Kawhi Leonard,Los Angeles Clippers,Western,Pacific,SF,79,33,2
Norman Powell,Los Angeles Clippers,Western,Pacific,SG,76,32,24
Austin Reaves,Los Angeles Lakers,Western,Pacific,SG,77,26,15
Dalton Knecht,Los Angeles Lakers,Western,Pacific,SG,78,24,4
Dorian Finney-Smith,Los Angeles Lakers,Western,Pacific,PF,79,31,17
LeBron James,Los Angeles Lakers,Western,Pacific,SF,81,40,23
Luka Doncic,Los Angeles Lakers,Western,Pacific,PG,79,26,77
Rui Hachimura,Los Angeles Lakers,Western,Pacific,PF,80,27,28
Desmond Bane,Memphis Grizzlies,Western,Southwest,SG,77,26,22
Ja Morant,Memphis Grizzlies,Western,Southwest,PG,74,25,12
Jaren Jackson Jr.,Memphis Grizzlies,Western,Southwest,PF,82,25,13
Jaylen Wells,Memphis Grizzlies,Western,Southwest,SF,80,21,0
Marvin Bagley III,Memphis Grizzlies,Western,Southwest,PF,82,26,35
Santi Aldama,Memphis Grizzlies,Western,Southwest,PF,84,24,7
Vince Williams Jr.,Memphis Grizzlies,Western,Southwest,SG,76,24,5
Zach Edey,Memphis Grizzlies,Western,Southwest,C,88,23,14
Andrew Wiggins,Miami Heat,Eastern,Southeast,SF,79,30,22
Bam Adebayo,Miami Heat,Eastern,Southeast,C,81,27,13
Duncan Robinson,Miami Heat,Eastern,Southeast,SG,79,31,55
Haywood Highsmith,Miami Heat,Eastern,Southeast,PF,77,28,24
Nikola Jovic,Miami Heat,Eastern,Southeast,SF,82,21,5
Terry Rozier,Miami Heat,Eastern,Southeast,SG,73,31,2
Tyler Herro,Miami Heat,Eastern,Southeast,PG,77,25,14
Bobby Portis,Milwaukee Bucks,Eastern,Central,PF,82,30,9
Brook Lopez,Milwaukee Bucks,Eastern,Central,C,85,37,11
Damian Lillard,Milwaukee Bucks,Eastern,Central,PG,74,34,0
Gary Trent Jr.,Milwaukee Bucks,Eastern,Central,SG,77,26,5
Giannis Antetokounmpo,Milwaukee Bucks,Eastern,Central,PF,83,30,34
Kevin Porter Jr.,Milwaukee Bucks,Eastern,Central,PG,76,25,3
Kyle Kuzma,Milwaukee Bucks,Eastern,Central,PF,81,29,18
Anthony Edwards,Minnesota Timberwolves,Western,Northwest,SG,76,23,5
Donte Divincenzo,Minnesota Timberwolves,Western,Northwest,SG,76,27,0
Jaden McDaniels,Minnesota Timberwolves,Western,Northwest,PF,81,24,3
Julius Randle,Minnesota Timberwolves,Western,Northwest,PF,80,29,30
Mike Conley,Minnesota Timberwolves,Western,Northwest,PG,72,37,10
Naz Reid,Minnesota Timberwolves,Western,Northwest,C,81,25,11
Rudy Gobert,Minnesota Timberwolves,Western,Northwest,C,85,32,27
CJ McCollum,New Orleans Pelicans,Western,Southwest,SG,75,33,3
Dejounte Murray,New Orleans Pelicans,Western,Southwest,SG,76,28,5
Herbert Jones,New Orleans Pelicans,Western,Southwest,SF,79,26,5
Kelly Olynyk,New Orleans Pelicans,Western,Southwest,PF,83,33,13
Trey Murphy III,New Orleans Pelicans,Western,Southwest,SF,80,25,25
Yves Missi,New Orleans Pelicans,Western,Southwest,C,83,21,21
Zion Williamson,New Orleans Pelicans,Western,Southwest,PF,78,24,1
Jalen Brunson,New York Knicks,Eastern,Atlantic,PG,74,28,11
Josh Hart,New York Knicks,Eastern,Atlantic,SG,76,30,3
Karl-Anthony Towns,New York Knicks,Eastern,Atlantic,C,84,29,32
Mikal Bridges,New York Knicks,Eastern,Atlantic,SF,78,28,25
Miles McBride,New York Knicks,Eastern,Atlantic,PG,73,24,2
OG Anunoby,New York Knicks,Eastern,Atlantic,SF,79,27,8
Alex Caruso,Oklahoma City Thunder,Western,Northwest,SG,77,31,9
